country_name,subject,measure,period_id,year,area,value,value_indexed
United Kingdom (less PM),Exports of goods,CP,2022-Q3,2022,WW,106276,120.64821910032637
United Kingdom (less PM),Exports of goods,CP,2022-Q4,2022,WW,102967,116.89172697601818
United Kingdom (less PM),Exports of goods,CP,2023-Q1,2023,WW,95738,108.68511423300696
United Kingdom (less PM),Exports of goods,CP,2023-Q2,2023,WW,95181,108.0527884206045
United Kingdom (less PM),Exports of goods,CP,2023-Q3,2023,WW,93041,105.62338583794522
United Kingdom (less PM),Exports of goods,CP,2023-Q4,2023,WW,91779,104.19071945508726
United Kingdom (less PM),Exports of goods,CP,2024-Q1,2024,WW,90778,103.05434936852562
United Kingdom (less PM),Exports of goods,CP,2024-Q2,2024,WW,91554,103.93529161345253
United Kingdom (less PM),Exports of goods,CP,2024-Q3,2024,WW,89230,101.29700581807862
United Kingdom,Exports of services,CP,2018-Q1,2018,WW,79304,97.39634505796818
United Kingdom,Exports of services,CP,2018-Q2,2018,WW,80259,98.56921792100609
United Kingdom,Exports of services,CP,2018-Q3,2018,WW,81581,100.19281784240519
United Kingdom,Exports of services,CP,2018-Q4,2018,WW,84552,103.84161917862056
United Kingdom,Exports of services,CP,2019-Q1,2019,WW,79776,97.97602672430733
United Kingdom,Exports of services,CP,2019-Q2,2019,WW,84694,104.01601493417174
United Kingdom,Exports of services,CP,2019-Q3,2019,WW,87710,107.72008253094911
United Kingdom,Exports of services,CP,2019-Q4,2019,WW,86313,106.00437217528003
United Kingdom,Exports of services,CP,2020-Q1,2020,WW,87294,107.20917665553154
United Kingdom,Exports of services,CP,2020-Q2,2020,WW,73392,90.13558655924543
United Kingdom,Exports of services,CP,2020-Q3,2020,WW,72776,89.37905285910787
United Kingdom,Exports of services,CP,2020-Q4,2020,WW,76888,94.42916093535075
United Kingdom,Exports of services,CP,2021-Q1,2021,WW,80402,98.74484181568089
United Kingdom,Exports of services,CP,2021-Q2,2021,WW,82018,100.72951463941835
United Kingdom,Exports of services,CP,2021-Q3,2021,WW,80692,99.10100216152486
United Kingdom,Exports of services,CP,2021-Q4,2021,WW,91639,112.54544114757319
United Kingdom,Exports of services,CP,2022-Q1,2022,WW,90708,111.40204362350168
United Kingdom,Exports of services,CP,2022-Q2,2022,WW,101287,124.39452741206524
United Kingdom,Exports of services,CP,2022-Q3,2022,WW,108544,133.30713303202987
United Kingdom,Exports of services,CP,2022-Q4,2022,WW,113389,139.25746708587147
United Kingdom,Exports of services,CP,2023-Q1,2023,WW,116537,143.12364904696403
United Kingdom,Exports of services,CP,2023-Q2,2023,WW,117412,144.19827078011397
United Kingdom,Exports of services,CP,2023-Q3,2023,WW,116016,142.48378856356848
United Kingdom,Exports of services,CP,2023-Q4,2023,WW,117753,144.61706622126152
United Kingdom,Exports of services,CP,2024-Q1,2024,WW,119190,146.38190214187463
United Kingdom,Exports of services,CP,2024-Q2,2024,WW,122655,150.63740420514836
United Kingdom,Exports of services,CP,2024-Q3,2024,WW,119835,147.1740518765966
United Kingdom,Imports of services,CP,2018-Q1,2018,WW,51981,97.08815838625327
United Kingdom,Imports of services,CP,2018-Q2,2018,WW,52470,98.0014942099365
United Kingdom,Imports of services,CP,2018-Q3,2018,WW,52922,98.84572282405678
United Kingdom,Imports of services,CP,2018-Q4,2018,WW,56787,106.06462457975346
United Kingdom,Imports of services,CP,2019-Q1,2019,WW,53990,100.84049308927905
United Kingdom,Imports of services,CP,2019-Q2,2019,WW,56356,105.25961897646619
United Kingdom,Imports of services,CP,2019-Q3,2019,WW,57867,108.08180799402317
United Kingdom,Imports of services,CP,2019-Q4,2019,WW,56459,105.45199850579006
United Kingdom,Imports of services,CP,2020-Q1,2020,WW,54621,102.01905117669033
United Kingdom,Imports of services,CP,2020-Q2,2020,WW,38352,71.63242435562196
United Kingdom,Imports of services,CP,2020-Q3,2020,WW,38165,71.28315278296601
United Kingdom,Imports of services,CP,2020-Q4,2020,WW,39460,73.70190511766903
United Kingdom,Imports of services,CP,2021-Q1,2021,WW,39158,73.13784086664177
United Kingdom,Imports of services,CP,2021-Q2,2021,WW,39960,74.63578632797908
United Kingdom,Imports of services,CP,2021-Q3,2021,WW,44935,83.92790437056406
United Kingdom,Imports of services,CP,2021-Q4,2021,WW,53612,100.13447889428464
United Kingdom,Imports of services,CP,2022-Q1,2022,WW,54207,101.2457975345536
United Kingdom,Imports of services,CP,2022-Q2,2022,WW,63028,117.72132984684349
United Kingdom,Imports of services,CP,2022-Q3,2022,WW,65728,122.76428838251773
United Kingdom,Imports of services,CP,2022-Q4,2022,WW,68544,128.02390735898393
United Kingdom,Imports of services,CP,2023-Q1,2023,WW,70308,131.31864026895778
United Kingdom,Imports of services,CP,2023-Q2,2023,WW,73218,136.75382891296226
United Kingdom,Imports of services,CP,2023-Q3,2023,WW,74475,139.10160627568175
United Kingdom,Imports of services,CP,2023-Q4,2023,WW,77096,143.997011580127
United Kingdom,Imports of services,CP,2024-Q1,2024,WW,78355,146.34852446768772
United Kingdom,Imports of services,CP,2024-Q2,2024,WW,79524,148.5319387373926
United Kingdom,Imports of services,CP,2024-Q3,2024,WW,80186,149.76839745984313
United Kingdom,Exports of services,CVM,2018-Q1,2018,WW,93841,98.55125734479445
United Kingdom,Exports of services,CVM,2018-Q2,2018,WW,93982,98.6993347020862
United Kingdom,Exports of services,CVM,2018-Q3,2018,WW,95787,100.5949349142254
United Kingdom,Exports of services,CVM,2018-Q4,2018,WW,97272,102.15447303889394
United Kingdom,Exports of services,CVM,2019-Q1,2019,WW,92045,96.66510887886537
United Kingdom,Exports of services,CVM,2019-Q2,2019,WW,96926,101.79110590681628
United Kingdom,Exports of services,CVM,2019-Q3,2019,WW,100286,105.31975782525822
United Kingdom,Exports of services,CVM,2019-Q4,2019,WW,98846,103.80747843164025
United Kingdom,Exports of services,CVM,2020-Q1,2020,WW,98579,103.52707662740693
United Kingdom,Exports of services,CVM,2020-Q2,2020,WW,81128,85.20014072599913
United Kingdom,Exports of services,CVM,2020-Q3,2020,WW,81810,85.91637304992096
United Kingdom,Exports of services,CVM,2020-Q4,2020,WW,83975,88.19004311046466
United Kingdom,Exports of services,CVM,2021-Q1,2021,WW,88246,92.67542178417463
United Kingdom,Exports of services,CVM,2021-Q2,2021,WW,89538,94.03227246233742
United Kingdom,Exports of services,CVM,2021-Q3,2021,WW,88282,92.71322876901507
United Kingdom,Exports of services,CVM,2021-Q4,2021,WW,98463,103.40525412069881
United Kingdom,Exports of services,CVM,2022-Q1,2022,WW,95234,100.01417761931518
United Kingdom,Exports of services,CVM,2022-Q2,2022,WW,103995,109.21492745784785
United Kingdom,Exports of services,CVM,2022-Q3,2022,WW,107391,112.78138636113022
United Kingdom,Exports of services,CVM,2022-Q4,2022,WW,107308,112.69422025719251
United Kingdom,Exports of services,CVM,2023-Q1,2023,WW,108940,114.40813690329288
United Kingdom,Exports of services,CVM,2023-Q2,2023,WW,109847,115.36066288246754
United Kingdom,Exports of services,CVM,2023-Q3,2023,WW,109669,115.17372834631199
United Kingdom,Exports of services,CVM,2023-Q4,2023,WW,109668,115.17267815228864
United Kingdom,Exports of services,CVM,2024-Q1,2024,WW,110807,116.36884914487953
United Kingdom,Exports of services,CVM,2024-Q2,2024,WW,112855,118.51964650469174
